ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV2241,-3.309631066,,,,
ASV2249,-1.902114871,,,,
ASV2256,3.459843744,,,,
ASV2257,3.888980065,,,,
ASV2269,-1.006308532,0.613902574,-1.639199076,0.103748058,
ASV2270,0.563893466,,,,
ASV2287,-17.55784902,,,,
ASV2297,-0.994695903,1.170983081,-0.849453694,0.397292716,0.835900552
ASV2311,-4.786631707,2.443376453,-1.959023424,0.052391205,
ASV2315,-2.60610573,,,,
ASV2316,2.839812252,,,,
ASV2319,-1.080124964,,,,
ASV2320,-18.87479749,,,,
ASV2322,-19.08053398,,,,
ASV2325,3.160771834,,,,
ASV2329,-0.4765982,,,,
ASV2334,-3.40976991,,,,
ASV2344,-20.63226804,,,,
ASV2349,-19.1382786,,,,
ASV2355,-3.486118048,,,,
ASV2357,19.73030109,,,,
ASV2360,-0.951716595,,,,
ASV2382,-1.425546703,,,,
ASV2385,-19.92523235,,,,
ASV2390,-19.27543692,,,,
ASV2391,-0.781504661,,,,
ASV2393,-0.452042663,,,,
ASV2394,-18.53866214,,,,
ASV2397,-0.328127601,0.958960726,-0.34217001,0.732811702,0.969817912
ASV2399,0.879723449,,,,
ASV2401,0.789498485,,,,
ASV2402,-1.737208478,,,,
ASV2404,-1.862866924,2.147976602,-0.867265929,0.387498927,0.835900552
ASV2408,2.125457603,,,,
ASV2413,-4.616578143,,,,
ASV2440,0.601566302,0.466044451,1.290791684,0.199216652,0.713640678
ASV2442,-37.16673852,,,,
ASV2446,0.188768259,0.659877009,0.286065821,0.775312884,0.969817912
ASV2455,2.613280206,,,,
ASV2456,-17.05408941,,,,
ASV2457,18.24931236,,,,
ASV2462,1.104129959,,,,
ASV2469,-0.389489577,,,,
ASV2490,-19.79864243,,,,
ASV2497,1.617502611,,,,
ASV2504,1.481663342,,,,
ASV2507,-19.27634386,,,,
ASV2510,-3.08471082,,,,
ASV2512,-0.282242338,,,,
ASV2515,3.165576744,,,,
ASV2521,-4.519714531,,,,
ASV2524,0.276976105,,,,
ASV2526,-1.245061596,,,,
ASV2528,2.142131464,,,,
ASV2529,3.551424501,,,,
ASV2554,-2.677949632,,,,
ASV2559,-3.144745833,,,,
ASV2565,0.374613596,2.041817746,0.183470634,0.854733334,0.991293937
ASV2567,1.790497857,,,,
ASV2568,-3.093832478,,,,
ASV2573,1.25609673,,,,
ASV2575,0.292386597,4.340731928,0.067358824,0.946406315,
ASV2580,-0.28206116,0.714740397,-0.394634417,0.693801753,0.96580769
ASV2594,2.002798969,,,,
ASV2596,0.073756691,,,,
ASV2605,1.847173134,,,,
ASV2608,-31.53416919,,,,
ASV2617,1.17691453,,,,
ASV2623,1.454684062,,,,
ASV2626,-2.251247276,,,,
ASV2632,1.375342401,,,,
ASV2637,18.8923733,,,,
ASV2641,-6.038344015,,,,
ASV2646,1.11045191,,,,
