ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV6253,2.582795746,2.283918796,1.130861461,0.260133339,
ASV6260,0.316261801,2.820933236,0.112112473,0.910901997,
ASV6270,5.707881471,1.093991051,5.217484609,6.73E-07,
ASV6285,-17.37949115,,,,
ASV6289,3.521841686,3.22784172,1.091082522,0.277194561,
ASV6309,0.367469392,1.037708055,0.354116353,0.723808291,0.941629169
ASV6321,1.85588385,3.565184334,0.520557614,0.603534048,
ASV6324,-21.85642546,796196.9367,-2.75E-05,0.999978138,
ASV6328,-0.095962509,1.412087521,-0.067957904,0.945920443,0.994455611
ASV6341,-17.13882975,81245.18316,-0.000210952,0.999831998,
ASV6356,-4.106717374,8.160215757,-0.503260881,0.615607113,
ASV6363,-4.227243853,,,,
ASV6367,0.374692432,1.069918214,0.350206611,0.726733515,0.941629169
ASV6369,6.803753591,1.51135433,4.50175942,1.45E-05,
ASV6370,-0.112381351,5.434155945,-0.020680553,0.983531245,
ASV6372,1.091989253,2.18466503,0.499842877,0.618005515,
ASV6373,-5.252204066,,,,
ASV6374,-20.37258831,1105606.393,-1.84E-05,0.999985325,
ASV6381,2.148930099,5.551533465,0.38708766,0.69930539,
ASV6383,1.165700976,1.433516322,0.813175936,0.417559685,
ASV6389,-6.55035082,1.410591656,-4.64369032,8.07E-06,
ASV6398,-19.75456836,402990.9811,-4.90E-05,0.999960961,
ASV6400,-5.399592796,,,,
ASV6401,0.540729842,3.292253479,0.164243077,0.869787275,
ASV6406,-16.46385666,,,,
ASV6408,-17.94015525,175589.3401,-0.000102171,0.999918631,
ASV6409,0.398038625,2.035788757,0.195520593,0.845281587,
ASV6437,-3.309223986,,,,
ASV6438,-3.717408924,1.984736381,-1.872998832,0.063247189,
ASV6449,-3.540441872,4.546803676,-0.778666097,0.437549299,
ASV6450,6.000542843,,,,
ASV6452,-4.054753497,,,,
ASV6469,-12.58551986,,,,
ASV6476,1.683750715,2.393463439,0.703478769,0.482977972,
ASV6482,0.285474447,3.837409804,0.074392484,0.940809029,
ASV6486,-4.691708542,,,,
ASV6488,2.768688928,2.727383594,1.015144673,0.3118663,
